Sp,lon,lat,source,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,RASTERVALU
Acla,-151.7085,59.464233,OBIS,1027186,657.309002106,-151.708333333,59.4583333333,2
Acla,-151.894167,59.373333,OBIS,1029106,1105.36512039,-151.875,59.375,2
Acla,-147.728,60.484,OBIS,1005441,3057.54477493,-147.708333333,60.4583333333,2
Acla,141.14195,45.1943,OBIS,1355806,2050.84506927,141.125,45.2083333333,2
Acla,-152.9016,57.3116,OBIS,1080375,2738.40974097,-152.875,57.2916666667,2
Acla,144.85,43.0,OBIS,1411530,5057.59930618,144.875,43.0416666667,2
Acla,-132.4223022,53.29199982,OBIS,1175054,2402.97377576,-132.458333333,53.2916666667,2
Acla,141.05,45.32,OBIS,1353783,3216.01004899,141.041666667,45.2916666667,2
Acla,141.2,45.25,OBIS,1353785,4676.65935434,141.208333333,45.2916666667,2
Acla,-132.52,54.07,GBIF,1158768,3458.16968637,-132.541666667,54.0416666667,2
Acla,-62.25,67.04,GBIF,907006,1823.94150526,-62.2083333333,67.0416666667,2
Acla,-130.251,54.301,GBIF,1153120,2844.29412504,-130.291666667,54.2916666667,2
Acla,-57.88,49.54,GBIF,1255269,406.594416503,-57.875,49.5416666667,2
Acla,-69.400047,43.921471,GBIF,1386374,4562.85112518,-69.375,43.9583333333,2
Acla,-69.726578,43.779316,GBIF,1390722,2009.94302841,-69.7083333333,43.7916666667,2
Acla,-69.552297,43.842082,GBIF,1388549,3756.02613903,-69.5416666667,43.875,2
Acla,-68.22139,44.52056,GBIF,1371374,2564.7887666,-68.2083333333,44.5416666667,2
Acla,-67.270861,44.653251,GBIF,1369277,3546.91856044,-67.2916666667,44.625,2
Acla,-68.301292,44.453314,GBIF,1373488,947.608857776,-68.2916666667,44.4583333333,2
Acla,-67.123398,44.74068,GBIF,1367187,3596.80829889,-67.125,44.7083333333,2
Acla,-53.123999,47.398484,GBIF,1303752,2612.00685451,-53.125,47.375,2
Acla,-53.258885,48.018648,GBIF,1288766,3539.56058827,-53.2916666667,48.0416666667,2
Acla,-68.566667,63.75,GBIF,951400,4806.13457076,-68.5416666667,63.7083333333,2
Acla,-55.866079,51.602935,GBIF,1209534,2531.52724269,-55.875,51.625,2
Acla,-55.880413,52.008347,GBIF,1200931,3725.97818021,-55.875,52.0416666667,2
Acla,128.9901,37.7347,GBIF,1562345,4050.6699563,128.958333333,37.7083333333,2
Acla,-134.94,58.61,GBIF,1047385,1981.58779447,-134.958333333,58.625,2
Acla,-31.68,68.150002,GBIF,891701,3027.22763818,-31.7083333333,68.125,2
Acla,-53.830002,67.669998,GBIF,898218,4573.88725199,-53.7916666667,67.7083333333,2
Acla,-37.220001,65.620003,GBIF,925439,774.237089797,-37.2083333333,65.625,2
Acla,-26.25,70.449997,GBIF,839753,1813.14627899,-26.2083333333,70.4583333333,2
Acla,-53.669998,66.93,GBIF,908198,3576.74839183,-53.7083333333,66.9583333333,2
Acla,-53.049999,65.82,GBIF,923289,3182.21171451,-53.0416666667,65.7916666667,2
Acla,-50.220001,64.449997,GBIF,940736,1085.89268355,-50.2083333333,64.4583333333,2
Acla,-44.220001,60.169998,GBIF,1011049,4319.92672996,-44.2083333333,60.2083333333,2
Acla,-63.23,46.43,Museum,1324869,3562.5021379,-63.2083333333,46.4583333333,2
Acla,-63.55,44.63,Museum,1369300,863.732900078,-63.5416666667,44.625,2
Acla,-85.15,73.02,Museum,753641,2551.52702955,-85.125,73.0416666667,2
Acla,-86.23,66.51,Museum,913421,3660.38631482,-86.2083333333,66.5416666667,2
Acla,-51.96266659,64.12041664,Shoenrock et al,945468,552.841794711,-51.9583333333,64.125,2
Acla,-50.81838861,64.70540073,Shoenrock et al,937302,1315.69054365,-50.7916666667,64.7083333333,2
Acla,-77.937138,72.703117,PICKeR,765899,913.160624908,-77.9583333333,72.7083333333,2
Acla,-79.852936,72.457296,PICKeR,774639,751.535650493,-79.875,72.4583333333,2
Acla,-78.903754,72.350985,PICKeR,777534,2850.9412563,-78.875,72.375,2
Acla,-86.17373333,66.25005,SIMEP,916715,4894.11009447,-86.2083333333,66.2916666667,2
Acla,-78.400179,72.593863,PICKeR,768862,3574.8429325,-78.375,72.625,2
Acla,33.3793,69.1122,Filbee-Dexter et al,873552,1438.06566294,33.375,69.125,2
Acla,-174.607217,52.14045,OBIS,1198615,2106.68722324,-174.625,52.125,1
Acla,141.45,41.42,OBIS,1455040,4313.98124236,141.458333333,41.4583333333,1
Acla,-152.832317,58.408083,OBIS,1053351,4385.33115476,-152.791666667,58.375,1
Acla,-168.807667,53.05115,OBIS,1179767,1505.08555687,-168.791666667,53.0416666667,1
Acla,-151.47695,59.539133,OBIS,1025266,1090.35296086,-151.458333333,59.5416666667,1
Acla,143.048106,42.067406,OBIS,1438949,2908.24758189,143.041666667,42.0416666667,1
Acla,-178.585717,51.575467,OBIS,1210652,4643.70854224,-178.625,51.5416666667,1
Acla,140.933333,41.933333,OBIS,1441241,3465.31409927,140.958333333,41.9583333333,1
