Sp,lon,lat,Source,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,RASTERVALU
Aesc,-13.86666667,65.2,OBIS,931109,1007.71133975,-13.875,65.2083333333,2
Aesc,-7.40553,57.44529,OBIS,1077361,2338.66355963,-7.375,57.4583333333,2
Aesc,-4.17763,51.19878,OBIS,1219057,2394.64262342,-4.20833333333,51.2083333333,2
Aesc,-9.87784,54.24335,OBIS,1155667,3902.07603685,-9.875,54.2083333333,2
Aesc,18.77383333,74.46916667,OBIS,697387,1321.56312194,18.7916666667,74.4583333333,2
Aesc,-62.25,67.04,GBIF,907006,1823.94150526,-62.2083333333,67.0416666667,2
Aesc,-54.1,46.8,GBIF,1317180,2121.57273124,-54.125,46.7916666667,2
Aesc,-69.552297,43.842082,GBIF,1388549,3756.02613903,-69.5416666667,43.875,2
Aesc,-69.709218,43.823973,GBIF,1390722,3590.21369428,-69.7083333333,43.7916666667,2
Aesc,-67.270861,44.653251,GBIF,1369277,3546.91856044,-67.2916666667,44.625,2
Aesc,-53.258885,48.018648,GBIF,1288766,3539.56058827,-53.2916666667,48.0416666667,2
Aesc,-67.388914,44.738299,GBIF,1367184,3507.69104641,-67.375,44.7083333333,2
Aesc,-135.368247,56.988423,GBIF,1088771,3375.84136471,-135.375,56.9583333333,2
Aesc,-66.158673,43.807042,GBIF,1390765,3203.39945945,-66.125,43.7916666667,2
Aesc,-62.800437,44.720533,GBIF,1367214,1523.44022826,-62.7916666667,44.7083333333,2
Aesc,-6.873162,62.12193,GBIF,976814,355.334817845,-6.875,62.125,2
Aesc,-7.450222,57.238194,GBIF,1083484,3361.30461393,-7.45833333333,57.2083333333,2
Aesc,-14.6025,65.758889,GBIF,923520,3797.36864931,-14.625,65.7916666667,2
Aesc,-22.875,66.253056,GBIF,917176,4305.52953569,-22.875,66.2916666667,2
Aesc,-26.27,70.449997,GBIF,839752,1232.90712864,-26.2916666667,70.4583333333,2
Aesc,-31.68,68.150002,GBIF,891701,3027.22763818,-31.7083333333,68.125,2
Aesc,-23.0,65.0,GBIF,933211,5043.68689016,-22.9583333333,65.0416666667,2
Aesc,-6.62,62.23,GBIF,975487,2428.69976751,-6.625,62.2083333333,2
Aesc,-6.83,62.25,GBIF,974152,5052.47184196,-6.79166666667,62.2916666667,2
Aesc,-6.53,62.349998,GBIF,972821,2851.22678189,-6.54166666667,62.375,2
Aesc,-18.041,65.682,GBIF,924566,2936.40456853,-18.0416666667,65.7083333333,2
Aesc,-18.842,66.194,GBIF,918325,2182.7562014,-18.875,66.2083333333,2
Aesc,-115.08,68.88,Muesuem,877519,1640.00848272,-115.041666667,68.875,2
Aesc,-51.93214338,64.13499964,Shoenrock et al,945468,1694.02936321,-51.9583333333,64.125,2
Aesc,-77.937138,72.703117,PICKeR,765899,913.160624908,-77.9583333333,72.7083333333,2
Aesc,-68.47166667,63.7247222,CAISN DFO,951401,1942.14639216,-68.4583333333,63.7083333333,2
Aesc,-85.61528333,65.9092,SIMEP,921981,3839.15036524,-85.625,65.875,2
Aesc,-86.17373333,66.25005,SIMEP,916715,4894.11009447,-86.2083333333,66.2916666667,2
Aesc,-4.934962993,51.59729242,OBIS,1210138,3481.9737735,-4.95833333333,51.625,1
Aesc,-4.491719229,53.1782257,OBIS,1177443,4025.69682913,-4.45833333333,53.2083333333,1
Aesc,-5.299624514,51.74592332,OBIS,1208373,4218.33204256,-5.29166666667,51.7083333333,1
Aesc,-8.40262,54.89327,OBIS,1140168,2697.89735371,-8.375,54.875,1
Aesc,-4.96364617,54.67770437,OBIS,1144073,3426.71836401,-4.95833333333,54.7083333333,1
Aesc,-5.816074821,59.12490716,OBIS,1036089,1397.81817678,-5.79166666667,59.125,1
Aesc,-2.161218,55.833123,OBIS,1118038,5143.97613734,-2.125,55.7916666667,1
Aesc,-2.44173,56.70258,OBIS,1095687,1201.95311471,-2.45833333333,56.7083333333,1
Aesc,-145.268767,70.031767,OBIS,850639,1407.74959517,-145.291666667,70.0416666667,1
Aesc,-6.30842,49.91953,OBIS,1246376,4480.44258597,-6.29166666667,49.9583333333,1
Aesc,-17.63333,65.98333,OBIS,921477,2812.90597401,-17.625,65.9583333333,1
Aesc,-66.98410034,44.90620041,OBIS,1363055,4020.62185235,-66.9583333333,44.875,1
Aesc,-1.694681091,60.34629723,OBIS,1008148,3285.58284665,-1.70833333333,60.375,1
Aesc,-4.483592072,53.42568022,OBIS,1172215,4002.98912022,-4.45833333333,53.4583333333,1
Aesc,-5.747751906,56.248699,OBIS,1107802,5116.4993153,-5.70833333333,56.2083333333,1
Aesc,-2.548656259,56.18652939,OBIS,1107815,2466.23385239,-2.54166666667,56.2083333333,1
Aesc,-70.83000183,41.34999847,OBIS,1456185,4242.49024751,-70.7916666667,41.375,1
Aesc,-6.586674414,57.04445346,OBIS,1087582,2347.04668392,-6.625,57.0416666667,1
Aesc,-6.708967,55.192747,OBIS,1132200,1735.65219156,-6.70833333333,55.2083333333,1
Aesc,-14.38333333,64.7,OBIS,937536,1010.52004342,-14.375,64.7083333333,1
Aesc,-4.480761,54.639663,OBIS,1146027,2182.17041241,-4.45833333333,54.625,1
Aesc,-5.81207,57.85878,OBIS,1066994,2174.84360434,-5.79166666667,57.875,1
Aesc,-2.441619687,59.29789472,OBIS,1032188,1178.31658638,-2.45833333333,59.2916666667,1
Aesc,19.1,74.34333333,OBIS,700938,3613.62927761,19.125,74.375,1
Aesc,-9.7702,53.29388,OBIS,1175688,1452.4839021,-9.79166666667,53.2916666667,1
Aesc,-4.900424,54.000973,OBIS,1159446,4826.21997908,-4.875,54.0416666667,1
Aesc,-1.183266763,60.00019455,OBIS,1015117,4827.33037648,-1.20833333333,60.0416666667,1
Aesc,-5.115601305,58.41829731,OBIS,1052404,4493.08856877,-5.125,58.4583333333,1
Aesc,-14.03333333,64.7,OBIS,937540,1010.52016849,-14.0416666667,64.7083333333,1
Aesc,-23.6,64.75,OBIS,936409,4795.25129199,-23.625,64.7916666667,1
Aesc,-5.45827,54.39027,OBIS,1151832,1699.74101891,-5.45833333333,54.375,1
Aesc,-8.899847,42.235177,OBIS,1433848,3619.26480378,-8.875,42.2083333333,1
Aesc,-3.74064,58.96545,OBIS,1040150,2020.87199556,-3.70833333333,58.9583333333,1
Aesc,-17.16667,66.2,OBIS,918345,2094.05160907,-17.2083333333,66.2083333333,1
Aesc,-4.595785523,52.79380925,OBIS,1186023,1985.12945732,-4.625,52.7916666667,1
Aesc,-7.096487119,57.60601765,OBIS,1073250,2715.36970086,-7.125,57.625,1
Aesc,-147.579,70.322,OBIS,843754,3664.09817945,-147.541666667,70.2916666667,1
Aesc,-4.901336922,52.03122565,OBIS,1201516,2148.48634281,-4.875,52.0416666667,1
Aesc,-4.18214,54.80767,OBIS,1142144,2451.82501721,-4.20833333333,54.7916666667,1
Aesc,-6.93049,52.12469,OBIS,1199779,1907.21276561,-6.95833333333,52.125,1
