Sps,Long,Lat,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,RASTERVALU
Cfra,135.3886,33.616,1685886,1609.07082088,135.375,33.625,2
Cfra,134.273,33.502679,1688444,4659.01833299,134.291666667,33.5416666667,2
Cfra,-73.07138,41.2025,1460786,2574.98568265,-73.0416666667,41.2083333333,2
Cfra,12.2333,44.7333,1367955,3407.40224495,12.2083333333,44.7083333333,2
Cfra,-69.627064,43.847758,1388548,3031.39068661,-69.625,43.875,2
Cfra,-72.402561,41.074143,1465409,4286.68262887,-72.375,41.0416666667,2
Cfra,5.2105,60.26,1009928,3530.24025272,5.20833333333,60.2916666667,2
Cfra,126.7166,33.12,1701224,950.096926843,126.708333333,33.125,1
Cfra,126.85,33.2666,1696091,3626.72172425,126.875,33.2916666667,1
Cfra,128.4,34.7666,1649874,3601.29227941,128.375,34.7916666667,1
Cfra,-61.51666,47.6166,1297964,2098.98929654,-61.5416666667,47.625,1
Cfra,-70.25,43.6666,1395094,5715.24454236,-70.2083333333,43.625,1
Cfra,-64.1833,44.3666,1375646,2202.81430877,-64.2083333333,44.375,1
Cfra,138.8239,34.6153,1655014,3145.81611397,138.791666667,34.625,1
Cfra,134.8527,34.212428,1667809,2104.68270904,134.875,34.2083333333,1
Cfra,133.5489,33.484,1691003,2925.08713934,133.541666667,33.4583333333,1
Cfra,140.8921,43.2123,1407126,1457.78943617,140.875,43.2083333333,1
Cfra,139.3427,35.2993,1635063,3057.59383799,139.375,35.2916666667,1
Cfra,-77.7906,34.206,1666494,276.867128427,-77.7916666667,34.2083333333,1
Cfra,-70.6186,42.9868,1412621,3205.23201526,-70.625,42.9583333333,1
Cfra,-7.7099,55.2511,1130167,4517.32464157,-7.70833333333,55.2916666667,1
Cfra,-9.109,53.1594,1179124,3975.23634847,-9.125,53.125,1
Cfra,-2.1396,49.192,1263429,2105.17748728,-2.125,49.2083333333,1
Cfra,3.8139,51.765,1206679,3340.3282323,3.79166666667,51.7916666667,1
Cfra,-4.659,43.4053,1402406,4349.83902728,-4.625,43.375,1
Cfra,3.6382,43.3386,1402431,4183.21228558,3.625,43.375,1
Cfra,17.9742,42.3208,1431676,3490.54418503,17.9583333333,42.2916666667,1
Cfra,23.5076,37.5303,1567157,3264.52714502,23.5416666667,37.5416666667,1
Cfra,4.0,51.53,1211961,3169.10390567,4.04166666667,51.5416666667,1
Cfra,-72.19194,41.11111,1463112,2067.62678113,-72.2083333333,41.125,1
Cfra,-71.85027,41.31361,1458486,3198.21801524,-71.875,41.2916666667,1
Cfra,0.23,38.75,1529852,4994.03530774,0.208333333333,38.7916666667,1
Cfra,0.16,40.130001,1491461,3034.4600931,0.125,40.125,1
Cfra,-4.05539,36.74806,1591658,4575.83288664,-4.04166666667,36.7083333333,1
Cfra,-2.32,43.31,1404595,3071.4976341,-2.29166666667,43.2916666667,1
Cfra,-1.83,43.39,1402428,3525.08098249,-1.79166666667,43.375,1
Cfra,12.3166,45.4333,1349605,3397.88279309,12.2916666667,45.4583333333,1
Cfra,12.2833,44.55,1372158,1139.9915258,12.2916666667,44.5416666667,1
Cfra,12.4,44.1833,1380715,3425.13126526,12.375,44.2083333333,1
Cfra,12.7666,43.9666,1387205,2211.53710791,12.7916666667,43.9583333333,1
Cfra,13.4,43.6166,1395946,2223.25391431,13.375,43.625,1
Cfra,13.6166,43.5333,1398137,1151.10943949,13.625,43.5416666667,1
Cfra,-70.664516,42.040135,1437741,3276.25346339,-70.625,42.0416666667,1
Cfra,-70.259186,41.762193,1444679,4243.67981083,-70.2916666667,41.7916666667,1
Cfra,-71.229966,41.443179,1453871,2469.86258693,-71.2083333333,41.4583333333,1
Cfra,-71.34252,41.597658,1449265,4068.34281457,-71.375,41.625,1
Cfra,-72.19662,41.316557,1458482,2933.20997743,-72.2083333333,41.2916666667,1
Cfra,-72.492682,40.863368,1469971,3170.6993525,-72.4583333333,40.875,1
Cfra,-74.129193,39.931311,1495345,3021.70947182,-74.125,39.9583333333,1
Cfra,-75.388881,37.928243,1553782,3555.78398359,-75.375,37.9583333333,1
Cfra,-77.207898,34.600719,1653676,2693.87230508,-77.2083333333,34.625,1
Cfra,-70.519199,41.848355,1442380,3498.36366902,-70.5416666667,41.875,1
Cfra,-70.153453,42.013616,1437747,3906.38640466,-70.125,42.0416666667,1
Cfra,-70.014335,41.655848,1449278,4113.88976468,-70.0416666667,41.625,1
Cfra,-70.415982,41.597144,1449274,4608.78024281,-70.375,41.625,1
Cfra,-122.189562,37.524916,1566085,2491.7899833,-122.208333333,37.5416666667,1
Cfra,-122.3185,37.591805,1563623,4380.36422624,-122.291666667,37.625,1
Cfra,5.2136,60.082,1015194,4503.2349392,5.20833333333,60.0416666667,1
Cfra,7.090001,57.99302,1065020,4383.39337684,7.125,57.9583333333,1
Cfra,5.78642,59.22836,1034245,2250.98145089,5.79166666667,59.2083333333,1
Cfra,5.238,59.674,1022686,4173.96888071,5.20833333333,59.7083333333,1
Cfra,5.10828,60.69869,1001750,1410.06978631,5.125,60.7083333333,1
Cfra,4.8086,60.80528,1000190,1775.11434313,4.79166666667,60.7916666667,1
Cfra,5.17723,61.54699,986585,1757.21039583,5.20833333333,61.5416666667,1
Cfra,5.60889,62.38484,972967,1377.5399121,5.625,62.375,1
Cfra,8.30521,63.66618,953414,4639.20380858,8.29166666667,63.625,1
Cfra,14.71148,67.24016,905509,3552.07232926,14.7083333333,67.2083333333,1
