Sps,decimalLon,decimalLat,Field4,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,RASTERVALU
Goce,17.092478,58.652365, ,617779,0.0425010153341,17.124992115,58.624994055,2
Goce,-80.5361,51.609166, ,778822,0.0167799962631,-80.541670645,51.624994335,2
Goce,33.25,69.432999, ,435830,0.0487535179875,33.291658135,69.458326955,2
Goce,-69.520966,48.241253, ,854289,0.0388943313433,-69.541671085,48.208327805,2
Goce,25.57282,59.61293, ,594001,0.0334153103822,25.541658445,59.624994015,2
Goce,18.09543,57.27507, ,650971,0.0338994114021,18.124992075,57.291660775,2
Goce,24.91138,59.52314, ,595906,0.0408303380861,24.874991805,59.541660685,2
Goce,-56.5,51.5, ,780608,0.0589180674122,-56.458338275,51.541661005,2
Goce,18.29048,62.8754, ,534398,0.0012467339706,18.291658735,62.874993885,2
Goce,-70.34799957,43.43999863, ,968790,0.0326377948778,-70.375004385,43.458327995,2
Goce,23.7272,59.27678, ,601689,0.0240352600354,23.708325185,59.291660695,2
Goce,18.13747,56.93115, ,659135,0.0299050609861,18.124992075,56.958327455,2
Goce,23.99978,59.34827, ,599757,0.0493221656862,23.958325175,59.374994025,2
Goce,23.47815,59.19004, ,603644,0.0269712923667,23.458325195,59.208327365,2
Goce,23.2527,59.83847, ,588290,0.053401969913,23.291658535,59.874994005,2
Goce,25.27959,59.5236, ,595911,0.021721785119,25.291658455,59.541660685,2
Goce,34.25,66.7, ,481401,0.0424821949826,34.291658095,66.708327065,2
Goce,19.0996,54.3984, ,721370,0.0345338347826,19.124992035,54.374994225,2
Goce,25.46572,59.51939, ,595913,0.0234663106289,25.458325115,59.541660685,2
Goce,17.52238,58.83767, ,611642,0.0420089885035,17.541658765,58.874994045,2
Goce,18.6148,63.1725, ,529206,0.0372487127729,18.624992055,63.208327205,2
Goce,17.3816,62.3325, ,543638,0.0413705560835,17.374992105,62.291660575,2
Goce,-70.81797028,42.89973831, ,984166,0.036109517661,-70.791671035,42.874994685,2
Goce,24.9834,60.14066, ,582787,0.0295664094443,24.958325135,60.124993995,2
Goce,26.97692,60.42545, ,575957,0.0377715477729,26.958325055,60.458327315,2
Goce,-69.50694275,43.83610916, ,957869,0.0521357669509,-69.541671085,43.874994645,2
Goce,-70.22599792,43.64300156, ,964414,0.0252216398182,-70.208337725,43.624994655,2
Goce,17.805,62.49, ,540966,0.0343679045171,17.791658755,62.458327235,2
Goce,-64.820821,43.873328, ,957916,0.0291973316098,-64.791671275,43.874994645,2
Goce,-69.06128693,44.20948029, ,949224,0.0196496423208,-69.041671105,44.208327965,2
Goce,-66.4,49.2, ,832040,0.0263462414882,-66.375004545,49.208327765,2
Goce,-70.906416,42.420889, ,995505,0.0488709745667,-70.875004365,42.458328035,2
Goce,25.9406,60.23457, ,581039,0.0316679172652,25.958325095,60.208327325,2
Goce,-70.10529327,43.82093811, ,960037,0.0352938971245,-70.125004395,43.791661315,2
Goce,25.19926,64.99789, ,503954,0.04058813593,25.208325125,64.958327135,2
Goce,-54.001,48.441,Tempestini,848849,0.0442090496072,-54.041671705,48.458327795,2
Goce,-65.82,47.896,Tempestini,861667,0.0352668482692,-65.791671235,47.874994485,2
Goce,-64.573,45.822,Tempestini,910139,0.0436111114887,-64.541671285,45.791661235,2
Goce,-61.014,46.629,Tempestini,890290,0.0279598195881,-61.041671425,46.624994535,2
Goce,-61.434,47.798,Tempestini,863565,0.025150006971,-61.458338075,47.791661155,2
Goce,-64.211,48.522,Tempestini,846941,0.019840520825,-64.208337965,48.541661125,2
Goce,-60.813,45.612,Tempestini,914188,0.0249753211068,-60.791671435,45.624994575,2
Goce,-63.995,47.058,Tempestini,880611,0.0401380237768,-63.958337975,47.041661185,2
Goce,-62.074,46.469,Tempestini,894203,0.0340445825328,-62.041671385,46.458327875,2
Goce,-62.95,46.422,Tempestini,894192,0.0372724696815,-62.958338015,46.458327875,2
Goce,-62.602,45.806,Tempestini,910154,0.0271074929451,-62.625004695,45.791661235,2
Goce,-61.355,45.184,Tempestini,924265,0.0314966308884,-61.375004745,45.208327925,2
Goce,-64.48,48.827,Tempestini,841379,0.0414497404892,-64.458337955,48.791661115,2
Goce,-63.994,46.95,Tempestini,882538,0.0366214854423,-63.958337975,46.958327855,2
Goce,-56.428,51.731,Tempestini,777092,0.0378740769436,-56.458338275,51.708327665,2
Goce,-57.167,50.617,Tempestini,800186,0.042104162874,-57.208338245,50.624994375,2
Goce,-57.939,49.586,Tempestini,822699,0.0435262100415,-57.958338215,49.624994415,2
Goce,-55.578,51.367,Tempestini,784191,0.0371975661702,-55.541671645,51.374994345,2
Goce,-52.704,47.7,Tempestini,865479,0.00939013315727,-52.708338425,47.708327825,2
Goce,-54.788,49.657,Tempestini,822720,0.0322155035425,-54.791671675,49.624994415,2
Goce,-53.506,49.204,Tempestini,832132,0.0359332925623,-53.541671725,49.208327765,2
Goce,-54.059,49.706,Tempestini,820829,0.0174839413289,-54.041671705,49.708327745,2
Goce,-53.949,46.882,Tempestini,884577,0.0116739850786,-53.958338375,46.874994525,2
Goce,-56.865,49.542,Tempestini,824590,0.0100106636959,-56.875004925,49.541661085,2
Goce,-66.188,47.975,Tempestini,859831,0.0262981238674,-66.208337885,47.958327815,2
Goce,-68.175264,44.343156, ,944938,0.0459083284282,-68.208337805,44.374994625,1
Goce,-0.0066,53.76326, ,734323,0.0451307874834,-0.041673865,53.791660915,1
Goce,-5.040619,50.14108, ,811886,0.0161201428802,-5.041673665,50.124994395,1
Goce,-71.010722,42.339391, ,997804,0.0471748445485,-71.041671025,42.374994705,1
Goce,-64.918132,46.85184, ,884449,0.0463966511421,-64.958337935,46.874994525,1
Goce,-60.964833,45.322983, ,922253,0.0319880524697,-60.958338095,45.291661255,1
Goce,-67.1493,44.870551, ,932373,0.0246985063674,-67.125004515,44.874994605,1
Goce,-66.912642,45.003316, ,928285,0.0537302416921,-66.875004525,45.041661265,1
Goce,-4.236334,51.53395, ,781231,0.0290362394022,-4.208340365,51.541661005,1
Goce,1.07963,52.95838, ,751904,0.0379706111357,1.041659425,52.958327615,1
Goce,-1.47841,60.27772, ,579169,0.0244361964216,-1.458340475,60.291660655,1
Goce,-6.20975,56.63484, ,667026,0.00994627337143,-6.208340285,56.624994135,1
Goce,-1.60034,55.64974, ,691404,0.0349402833995,-1.625007135,55.624994175,1
Goce,-1.17751,60.52401, ,574170,0.0355255411535,-1.208340485,60.541660645,1
Goce,-3.53892,50.54164, ,802617,0.00275380541573,-3.541673725,50.541661045,1
Goce,-5.90726,56.67619, ,664999,0.045531032531,-5.875006965,56.708327465,1
Goce,-4.83967,55.32715, ,699521,0.0500817664944,-4.875007005,55.291660855,1
Goce,-1.10319,54.66042, ,715360,0.0416049816147,-1.125007155,54.624994215,1
Goce,12.609328,56.788716, ,663157,0.0159386936553,12.624992295,56.791660795,1
Goce,11.727829,57.649183, ,642761,0.0310722255595,11.708325665,57.624994095,1
Goce,17.064128,58.349355, ,623937,0.0340914546007,17.041658785,58.374994065,1
Goce,37.341999,64.317001, ,513008,0.0416008819963,37.374991305,64.291660495,1
Goce,40.292999,66.375, ,485844,0.00134115958637,40.291657855,66.374993745,1
Goce,35.178001,69.18, ,441179,0.0414963280783,35.208324725,69.208326965,1
Goce,34.347,69.317001, ,439458,0.0377580614363,34.374991425,69.291660295,1
Goce,42.650002,66.417, ,484739,0.048306029613,42.624991095,66.458327075,1
Goce,32.417,66.877998, ,479211,0.0414338950142,32.458324835,66.874993725,1
Goce,-138.399994,69.300003, ,438320,0.0263480081879,-138.375001665,69.291660295,1
Goce,-131.160004,70.010002, ,420125,0.0471952211245,-131.125001955,70.041660265,1
Goce,6.748,53.567001, ,739853,0.0470760702375,6.708325865,53.541660925,1
Goce,8.846054,54.032375, ,728900,0.0303918020309,8.874992445,54.041660905,1
Goce,18.38758,59.157297, ,605576,0.0346689725166,18.374992065,59.124994035,1
Goce,13.480652,54.343348, ,721328,0.0387292127079,13.458325595,54.374994225,1
Goce,22.99479,58.35489, ,623998,0.0416395722195,22.958325215,58.374994065,1
Goce,24.267029,58.28317, ,626087,0.0260519597112,24.291658495,58.291660735,1
Goce,14.25,54.06667, ,728920,0.0485892824123,14.291658895,54.041660905,1
Goce,12.78999996,54.72999954, ,713562,0.0217354004263,12.791658955,54.708327545,1
Goce,21.94091,58.40426, ,623996,0.0340556318124,21.958325255,58.374994065,1
Goce,26.65525,59.54968, ,595923,0.0313029074349,26.624991735,59.541660685,1
