Sps,lon,lat,Source,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,RASTERVALU
Gtig,26.97692,60.42545,OBIS,1006637,3804.06486255,26.9583333333,60.4583333333,2
Gtig,26.37272,60.35829,OBIS,1008307,1866.04922801,26.375,60.375,2
Gtig,27.20545,60.46822,OBIS,1006640,1112.93737575,27.2083333333,60.4583333333,2
Gtig,23.99803,59.34773,OBIS,1030437,3784.94418427,23.9583333333,59.375,2
Gtig,24.909999,59.522899,OBIS,1026586,2879.86097552,24.875,59.5416666667,2
Gtig,27.68572,60.46982,OBIS,1006646,1784.88517371,27.7083333333,60.4583333333,2
Gtig,25.46538,59.51981,OBIS,1026593,2467.36174339,25.4583333333,59.5416666667,2
Gtig,23.73136,59.27406,OBIS,1032369,2360.06879416,23.7083333333,59.2916666667,2
Gtig,25.74222,59.65425,OBIS,1024683,3777.84686069,25.7083333333,59.625,2
Gtig,23.48276,59.19017,OBIS,1034324,2458.11109378,23.4583333333,59.2083333333,2
Gtig,25.912181,59.625494,OBIS,1024685,2098.84063657,25.875,59.625,2
Gtig,25.93052,60.26217,OBIS,1009999,3628.92902373,25.9583333333,60.2916666667,2
Gtig,19.29389,54.31,OBIS,1153966,2045.82111055,19.2916666667,54.2916666667,2
Gtig,27.50378,60.47667,OBIS,1006644,2918.55320565,27.5416666667,60.4583333333,2
Gtig,-70.76,47.04917,Kelly,1311270,2546.87511746,-70.7916666667,47.0416666667,2
Gtig,22.98797,58.79892,OBIS,1044423,1894.41247588,22.9583333333,58.7916666667,1
Gtig,21.95269,58.40448,OBIS,1054676,3300.16292173,21.9583333333,58.375,1
Gtig,23.42082,58.64089,OBIS,1048534,2807.27447791,23.4583333333,58.625,1
Gtig,23.5182,58.976799,OBIS,1040360,2460.42773716,23.5416666667,58.9583333333,1
Gtig,24.27581,58.28349,OBIS,1056767,1301.75678258,24.2916666667,58.2916666667,1
Gtig,23.04524,58.5774,OBIS,1050573,3985.67633344,23.0416666667,58.5416666667,1
Gtig,14.22,53.72,OBIS,1166949,1509.77698199,14.2083333333,53.7083333333,1
Gtig,22.9951,58.36093,OBIS,1054678,2661.9825535,22.9583333333,58.375,1
Gtig,22.25128,58.09056,OBIS,1060923,4514.79487687,22.2916666667,58.125,1
Gtig,26.6512,59.54659,OBIS,1026603,1580.26387353,26.625,59.5416666667,1
Gtig,22.28307,58.56225,OBIS,1050568,2346.71615402,22.2916666667,58.5416666667,1
Gtig,4.092000008,51.36999893,OBIS,1215546,2364.32549039,4.125,51.375,1
Gtig,18.40999985,54.72000122,OBIS,1144299,2602.90142407,18.375,54.7083333333,1
Gtig,-61.95800018,45.63199997,OBIS,1344855,778.438717387,-61.9583333333,45.625,1
Gtig,3.99562883,51.89364201,OBIS,1204962,3301.03615142,3.95833333333,51.875,1
Gtig,-76.040833,36.514166,OBIS,1595824,3052.62962649,-76.0416666667,36.5416666667,1
Gtig,22.45736,58.75242,OBIS,1044419,4372.09475805,22.4583333333,58.7916666667,1
Gtig,19.1833,54.5667,OBIS,1148195,3223.12377084,19.2083333333,54.5416666667,1
Gtig,-76.03500366,35.66500092,OBIS,1623706,4479.03522193,-76.0416666667,35.625,1
Gtig,13.75,54.03,OBIS,1159594,3023.08571109,13.7916666667,54.0416666667,1
Gtig,-75.6207,37.99801,OBIS,1553781,4420.12846341,-75.625,37.9583333333,1
Gtig,20.971667,55.921667,OBIS,1114200,4166.61676389,20.9583333333,55.9583333333,1
Gtig,13.5,54.56,OBIS,1148146,3381.40115732,13.5416666667,54.5416666667,1
Gtig,22.30003,60.34,OBIS,1008292,3926.87018195,22.2916666667,60.375,1
Gtig,24.74271,59.5742,OBIS,1026584,4112.688699,24.7083333333,59.5416666667,1
Gtig,-75.55599976,35.31299973,OBIS,1633792,2702.08094013,-75.5416666667,35.2916666667,1
Gtig,24.43928,58.00724,OBIS,1063054,3996.26229937,24.4583333333,58.0416666667,1
Gtig,14.25,54.0667,OBIS,1159600,3900.00181672,14.2916666667,54.0416666667,1
Gtig,10.98,54.0,OBIS,1159584,4850.27525954,10.9583333333,54.0416666667,1
Gtig,12.14,54.16,OBIS,1157723,4017.20615954,12.125,54.125,1
Gtig,-70.52200317,47.14899826,OBIS,1309338,3056.67087496,-70.5416666667,47.125,1
Gtig,23.11612,59.02733,OBIS,1038339,1676.45904965,23.125,59.0416666667,1
Gtig,5.025615694,52.41463598,OBIS,1194691,4543.81203869,5.04166666667,52.375,1
Gtig,-75.8485,36.392666,OBIS,1600841,3081.61790312,-75.875,36.375,1
Gtig,-65.16400146,47.03699875,OBIS,1311278,3009.20094844,-65.125,47.0416666667,1
Gtig,12.78,54.42,OBIS,1150073,4333.62909585,12.7916666667,54.4583333333,1
Gtig,-75.84586,38.41413,OBIS,1541371,5034.59365897,-75.875,38.375,1
Gtig,-75.85099792,35.96699905,OBIS,1613514,2369.04165936,-75.875,35.9583333333,1
Gtig,15.9833,55.25,OBIS,1130379,4902.63230332,15.9583333333,55.2916666667,1
Gtig,-70.65000153,41.56700134,OBIS,1451577,3502.55581027,-70.625,41.5416666667,1
Gtig,23.952,58.05667,OBIS,1063048,1712.38918012,23.9583333333,58.0416666667,1
Gtig,23.51378,60.0545,OBIS,1015261,2111.55886949,23.5416666667,60.0416666667,1
Gtig,11.87,54.15,OBIS,1157721,2801.81281723,11.875,54.125,1
Gtig,10.3017,56.6082,OBIS,1097854,1969.5411874,10.2916666667,56.625,1
Gtig,11.53,54.03,OBIS,1159591,1506.84156258,11.5416666667,54.0416666667,1
Gtig,22.69773,59.07175,OBIS,1038334,3405.95054497,22.7083333333,59.0416666667,1
Gtig,13.32,54.25,OBIS,1153929,4991.75623131,13.2916666667,54.2916666667,1
Gtig,21.60275,61.51108,OBIS,986644,3608.27024235,21.625,61.5416666667,1
Gtig,-1.75293,43.34087,OBIS,1402428,4923.31539651,-1.79166666667,43.375,1
Gtig,-81.05200195,31.85300064,OBIS,1737954,2628.15386729,-81.0416666667,31.875,1
Gtig,-65.93299866,44.58300018,OBIS,1371398,5014.74634386,-65.9583333333,44.5416666667,1
Gtig,12.42,54.33,OBIS,1153926,4942.81754186,12.4583333333,54.2916666667,1
Gtig,-96.79399872,28.45899963,OBIS,1839180,240.046692291,-96.7916666667,28.4583333333,1
Gtig,-82.69072723,27.47027588,OBIS,1870096,2186.27278152,-82.7083333333,27.4583333333,1
Gtig,-5.172909332,51.71613302,OBIS,1208374,2597.66137139,-5.20833333333,51.7083333333,1
Gtig,-65.80601556,44.97985204,OBIS,1361017,2645.78010492,-65.7916666667,44.9583333333,1
Gtig,-71.15000153,41.56700134,OBIS,1451571,3502.55581027,-71.125,41.5416666667,1
Gtig,-8.1879,55.5259,OBIS,1124070,2178.50424801,-8.20833333333,55.5416666667,1
Gtig,-86.55963898,30.41911125,OBIS,1779373,4678.34589883,-86.5416666667,30.4583333333,1
Gtig,-3.2518581,58.982179,OBIS,1040155,3507.11200967,-3.29166666667,58.9583333333,1
Gtig,-71.00389,46.97306,Kelly,1313201,3308.44753118,-71.0416666667,46.9583333333,1
Gtig,-70.73417,43.04306,Kelly,1410412,2110.98161533,-70.7083333333,43.0416666667,1
Gtig,-75.59222,39.64472,Kelly,1504783,3565.48838924,-75.625,39.625,1
Gtig,-76.66778,37.45444,Kelly,1568559,3613.95669891,-76.7083333333,37.4583333333,1
Gtig,-76.96306,34.99389,Kelly,1643667,3968.2042407,-76.9583333333,34.9583333333,1
Gtig,-2.185278,47.30667,Piscart,1306260,2413.03315412,-2.20833333333,47.2916666667,1
