Sps,lon,lat,Source,Lon_dd,Lat_dd,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,RASTERVALU
Mdes,-130.316667,69.821667,OBIS, , ,857356,3482.75644533,-130.291666667,69.7916666667,2
Mdes,-125.675,69.42666667,OBIS, , ,865393,3766.54353731,-125.708333333,69.4583333333,2
Mdes,-130.4016667,69.685,OBIS, , ,859463,2800.53880809,-130.375,69.7083333333,2
Mdes,-66.616667,61.966667,OBIS, , ,978853,1026.49218809,-66.625,61.9583333333,2
Mdes,-124.6669444,70.15027778,OBIS, , ,848635,3227.69279264,-124.708333333,70.125,2
Mdes,-129.955,69.74666667,OBIS, , ,859468,4278.35555123,-129.958333333,69.7083333333,2
Mdes,-129.6716667,69.91,OBIS, , ,855203,4150.51845147,-129.708333333,69.875,2
Mdes,-79.25,56.183333,OBIS, , ,1107085,3799.86901651,-79.2916666667,56.2083333333,2
Mdes,-64.854167,60.421389,OBIS, , ,1005731,4273.14837335,-64.875,60.4583333333,2
Mdes,-78.56111111,52.24166667,OBIS, , ,1197505,3939.86416697,-78.5416666667,52.2083333333,2
Mdes,-68.98333333,63.61666667,OBIS, , ,952663,1549.23127285,-68.9583333333,63.625,2
Mdes,-69.63333333,61.03333333,OBIS, , ,994657,1032.03253386,-69.625,61.0416666667,2
Mdes,-79.183333,69.1,OBIS, , ,872752,2961.00382406,-79.2083333333,69.125,2
Mdes,-124.9166565,70.08000183,OBIS, , ,850866,4561.41170354,-124.875,70.0416666667,2
Mdes,-69.88333333,60.81666667,OBIS, , ,999318,2822.34678989,-69.875,60.7916666667,2
Mdes,-76.58333333,57.11666667,OBIS, , ,1084875,2689.16292493,-76.5416666667,57.125,2
Mdes,-76.766667,56.216667,OBIS, , ,1107114,1807.57931277,-76.7916666667,56.2083333333,2
Mdes,-78.90833333,52.95,OBIS, , ,1181990,2424.63797005,-78.875,52.9583333333,2
Mdes,-62.73333333,67.03333333,OBIS, , ,907000,1431.50956189,-62.7083333333,67.0416666667,2
Mdes,-56.17,54.74,OBIS, , ,1143492,4304.26097948,-56.2083333333,54.7083333333,2
Mdes,-68.2,58.51805556,OBIS, , ,1049628,2674.40124303,-68.2083333333,58.5416666667,2
Mdes,-73.99666667,63.165,OBIS, , ,960335,4859.47778231,-73.9583333333,63.125,2
Mdes,-77.93333333,63.1,OBIS, , ,960287,3059.0133217,-77.9583333333,63.125,2
Mdes,-130.9250031,69.44000244,OBIS, , ,865380,2426.52848288,-130.958333333,69.4583333333,2
Mdes,-128.9166667,70.2,OBIS, , ,846322,1829.38336625,-128.958333333,70.2083333333,2
Mdes,-79.31666667,51.66666667,OBIS, , ,1207766,4947.77903618,-79.2916666667,51.7083333333,2
Mdes,-77.83333333,62.58333333,OBIS, , ,968095,5113.28376197,-77.7916666667,62.625,2
Mdes,-79.12333333,53.78333333,OBIS, , ,1164374,933.991329797,-79.125,53.7916666667,2
Mdes,-79.0,53.83333333,OBIS, , ,1162531,5387.4959054,-78.9583333333,53.875,2
Mdes,-90.0,74.0,OBIS, , ,714120,4823.51804392,-89.9583333333,74.0416666667,2
Mdes,-73.955,63.57,OBIS, , ,953903,3162.67194307,-73.9583333333,63.5416666667,2
Mdes,-78.925,56.425,OBIS, , ,1101046,4243.05011122,-78.9583333333,56.4583333333,2
Mdes,-80.783333,51.85,OBIS, , ,1204315,2840.24338277,-80.7916666667,51.875,2
Mdes,-51.48,51.94,OBIS, , ,1202692,2525.93689727,-51.4583333333,51.9583333333,2
Mdes,-55.77,54.8,OBIS, , ,1141557,1674.09741519,-55.7916666667,54.7916666667,2
Mdes,-55.54,54.02,OBIS, , ,1158877,2414.09245848,-55.5416666667,54.0416666667,2
Mdes,-106.3333435,69.16000366,OBIS, , ,872564,4241.29726969,-106.375,69.125,2
Mdes,-79.916667,55.833333,OBIS, , ,1115294,5322.70284483,-79.9583333333,55.875,2
Mdes,-63.58333333,62.9,OBIS, , ,964305,3500.97042936,-63.5416666667,62.875,2
Mdes,-107.856226,66.768847,OBIS, , ,910126,2675.60944778,-107.875,66.7916666667,2
Mdes,-54.59,53.51,OBIS, , ,1169875,4220.07089092,-54.625,53.5416666667,2
Mdes,-74.633333,64.483333,OBIS, , ,940541,2815.75924972,-74.625,64.4583333333,2
Mdes,-79.58333333,52.25,OBIS, , ,1195780,5439.27550323,-79.5416666667,52.2916666667,2
Mdes,-53.23,54.71,OBIS, , ,1143528,1408.82037934,-53.2083333333,54.7083333333,2
Mdes,-68.166667,58.633333,OBIS, , ,1047573,2592.35416559,-68.2083333333,58.625,2
Mdes,-73.44,63.61833333,OBIS, , ,952636,1174.26196707,-73.4583333333,63.625,2
Mdes,-56.55,54.833332,OBIS, , ,1141548,4669.02935577,-56.5416666667,54.7916666667,2
Mdes,-86.0,63.0,OBIS, , ,961480,5101.03643979,-85.9583333333,63.0416666667,2
Mdes,-63.81666667,62.83333333,OBIS, , ,964302,4815.48601088,-63.7916666667,62.875,2
Mdes,-67.439,60.597,OBIS, , ,1002471,3294.61866308,-67.4583333333,60.625,2
Mdes,-164.75,64.48000336,OBIS, , ,940421,3139.22549237,-164.791666667,64.4583333333,2
Mdes,-68.758,60.396,OBIS, , ,1007358,2986.96846506,-68.7916666667,60.375,2
Mdes,-165.4166718,64.5,OBIS, , ,940413,5058.87522025,-165.458333333,64.4583333333,2
Mdes,-65.906494,65.295546,OBIS, , ,929653,1531.7562249,-65.875,65.2916666667,2
Mdes,-117.0,68.95,OBIS, , ,875860,1911.77520742,-116.958333333,68.9583333333,2
Mdes,-78.336,56.0,OBIS, , ,1111191,5238.07082595,-78.375,56.0416666667,2
Mdes,-53.77,51.92,OBIS, , ,1202664,4517.98465491,-53.7916666667,51.9583333333,2
Mdes,-69.47,61.207,OBIS, , ,991580,644.488481014,-69.4583333333,61.2083333333,2
Mdes,-129.0,70.0,OBIS, , ,850828,4912.68280502,-128.958333333,70.0416666667,2
Mdes,-90.7,63.41666667,OBIS, , ,955005,4663.11110756,-90.7083333333,63.4583333333,2
Mdes,-68.35,60.23333333,OBIS, , ,1010763,3111.04467326,-68.375,60.2083333333,2
Mdes,-65.29166667,59.48333333,OBIS, , ,1027585,2785.08081053,-65.2916666667,59.4583333333,2
Mdes,170.1000061,69.75,OBIS, , ,859062,4747.38835966,170.125,69.7916666667,2
Mdes,-124.5,70.0,OBIS, , ,850871,4912.68280502,-124.458333333,70.0416666667,2
Mdes,-71.49166667,61.93,OBIS, , ,978795,3610.01979636,-71.4583333333,61.9583333333,2
Mdes,-71.985,62.08333333,OBIS, , ,976124,4847.93287886,-71.9583333333,62.125,2
Mdes,-68.05,60.26666667,OBIS, , ,1009057,2823.32866549,-68.0416666667,60.2916666667,2
